x,y,address
-95.340559,29.7478018,500 YORK 
-95.3455445,29.7549527,2600 COMMERCE ST
-95.3518529,29.76353769999999,2000 RUNNELS 
-95.34236090000002,29.7455199,800 YORK 
-95.3373537,29.7402307,4200 DALLAS ST
-95.3236034,29.732275,5200 PEASE 
-95.3380572,29.7418927,4100 LAMAR 
-95.3215152,29.7324027,5300 LEELAND 
-95.32576189999999,29.7280756,1500 TELEPHONE 
-95.3579365,29.7449796,2300 PEASE 
-95.3448549,29.739713,3700 BELL ST
-95.3507264,29.7572818,2100 FRANKLIN ST
-95.3575257,29.7502683,2000 DALLAS ST
-95.37766239999999,29.7392284,1100 HOLMAN 
-95.38485899999999,29.73392699999999,4500 TRAVIS 
-95.3737041,29.7497198,2100 MILAM 
-95.3704302,29.74040279999999,2900 CRAWFORD ST
-95.3688397,29.7471443,1300 GRAY 
-95.3765722,29.740361,1100 STUART 
-95.3654337,29.7451161,2100 JACKSON ST
-95.3577217,29.7355265,3000 MCGOWEN ST
-95.3626023,29.7311932,3400 DELANO 
-95.35770439999999,29.732488,3000 BRAILSFORT 
-95.35794200000001,29.723995,3300 ALABAMA ST
-95.35889560000001,29.7256151,3800 BURKETT ST
-95.3650519,29.7343913,2400 ELGIN ST
-95.363063,29.734168,3100 LIVE OAK 
-95.355372,29.7267264,3300 SANDERS 
-95.34619909999999,29.7296626,3800 TUAM 
-95.3650706,29.7344127,3200 DOWLING ST
-95.3477964,29.7315351,3600 DENNIS ST
-95.365106,29.7279951,3900 DELANO 
-95.36023999999999,29.7268566,3200 WINBERN 
-95.35794200000001,29.723995,3300 ALABAMA ST
-95.366202,29.7314389,3600 SAINT CHARLES 
-95.3459802,29.7302927,2800 CALLIE 
-95.3560299,29.7255647,3400 WINBERN 
-95.37425050000002,29.70101889999999,3300 OLD SPANISH TRL
-95.356601,29.703575,4000 GRIGGS 
-95.3802347,29.7162666,3600 MACGREGOR WAY
-95.34933699999999,29.703314,4300 OLD SPANISH TRL
-95.3729003,29.7051974,3300 DIXIE DR
-95.3564236,29.7102578,5400 SCOTT ST
-95.3557634,29.7223858,3800 SAMPSON 
-95.3663626,29.7232041,4500 ENNIS ST
-95.3709884,29.7037016,6400 ALLEGHENY ST
-95.356601,29.703575,4000 GRIGGS 
-95.35477580000001,29.7216187,3800 CANFIELD ST
-95.3758623,29.7181712,2500 CALUMET 
-95.3900977,29.7059701,2000 HOLCOMBE BLVD
-95.39359379999999,29.7125935,1500 TAUB LOOP 
-95.37627499999999,29.731819,4100 ALMEDA RD
-95.3811508,29.7121724,2200 MACGREGOR DR
-95.40115089999999,29.7097317,6600 FANNIN ST
-95.38558289999999,29.6990248,2800 OLD SPANISH TRL
-95.39359379999999,29.7125935,1500 TAUB LOOP 
-95.4150634,29.725511,4500 MORNINGSIDE DR
-95.3079394,29.7436144,6600 AVENUE I 
-95.28222439999999,29.7295548,8000 HARRISBURG 
-95.2853233,29.7271978,7900 ELWOOD ST
-95.30266809999999,29.7510209,6700 AVENUE U 
-95.30821189999999,29.742967,800 66TH ST
-95.3027532,29.7450202,6800 NAVIGATION 
-95.2916221,29.7392515,7400 AVENUE J 
-95.29175,29.7302897,100 BEDFORD DR
-95.30318229999999,29.744362,1200 WAYSIDE 
-95.28844149999999,29.7012661,7500 PLUM CREEK DR
-95.2834122,29.716795,7700 CHANNELSIDE 
-95.2880716,29.699535,7500 OFFICE CITY DR
