x,y,address
-95.3381318,29.7508474,100 YORK 
-95.34020749999999,29.7498237,300 SAMPSON 
-95.309033,29.753042,6200 INDUSTRIAL WAY
-95.32304959999999,29.7369009,1100 WEAVER 
-95.3412558,29.7428694,3800 LAMAR 
-95.3241382,29.7228175,1900 JEAN 
-95.3257555,29.7314212,5100 LINDSAY 
-95.3335797,29.7427001,4400 RUSK ST
-95.35261,29.7418261,1700 ADEN DR
-95.3481182,29.7446022,3100 DALLAS ST
-95.3656858,29.7392428,1800 DENNIS ST
-95.3726946,29.7472931,2300 MAIN ST
-95.3718335,29.7401896,1500 ANITA ST
-95.3657459,29.743094,1800 HADLEY ST
-95.3657459,29.743094,1800 HADLEY ST
-95.3676162,29.7423704,2500 JACKSON ST
-95.3664694,29.7421654,1800 MCILHENNY ST
-95.3748596,29.7411972,3100 SAN JACINTO 
-95.37290349999999,29.737236,1600 FRANCIS ST
-95.37104869999999,29.7379992,3200 JACKSON ST
-95.37803199999999,29.7339502,1400 CLEBURNE ST
-95.35500929999999,29.7261374,3500 COBB ST
-95.366087,29.73318939999999,3400 DOWLING ST
-95.3677551,29.7341798,2200 FRANCIS ST
-95.3640796,29.72736029999999,2900 TRUXILLO 
-95.36795269999999,29.7323381,2300 BERRY ST
-95.3657703,29.7367219,2900 SAINT EMANUEL ST
-95.3551729,29.730817,3300 ROSALIE 
-95.3574915,29.7260157,3300 WINBERN 
-95.3617426,29.7417831,2200 HUTCHINS 
-95.3574915,29.7260157,3300 WINBERN 
-95.35739459999999,29.7330908,3100 TUAM 
-95.36606719999999,29.7267279,2800 CLEBURNE ST
-95.36907420000001,29.7211529,2900 ARBOR ST
-95.3802347,29.7162666,4400 MACGREGOR WAY
-95.3802347,29.7162666,3500 MACGREGOR WAY
-95.36709049999999,29.7034115,3500 DIXIE DR
-95.356601,29.703575,4000 GRIGGS 
-95.36709049999999,29.7034115,3500 DIXIE DR
-95.36592139999999,29.705124,3500 OZARK 
-95.3584643,29.7194068,4000 TIERWESTER 
-95.356601,29.703575,4000 GRIGGS 
-95.3559524,29.7114166,5300 SCOTT ST
-95.38565799999999,29.727108,1200 SOUTHMORE BLVD
-95.38117629999999,29.7082055,2400 MYSTIC MEADOW 
-95.3936054,29.7029367,7100 STAFFORDSHIRE 
-95.3783866,29.7239389,5100 ALMEDA RD
-95.3874465,29.6977146,7000 ALMEDA RD
-95.375866,29.7270975,2000 BLODGETT ST
-95.3828913,29.7247497,5300 CRAWFORD ST
-95.38014129999999,29.7188649,5700 ALMEDA RD
-95.38501269999999,29.7251293,1400 PROSPECT 
-95.37970589999999,29.7255761,5000 CHENEVERT 
-95.38278110000002,29.721661,1800 BINZ ST
-95.38565799999999,29.727108,1200 SOUTHMORE BLVD
-95.3802389,29.7100461,2400 CHARLESTON 
-95.3839843,29.7264215,1400 SOUTHMORE BLVD
-95.38224500000001,29.7271115,5000 LA BRANCH 
-95.392814,29.704357,7000 STAFFORDSHIRE 
-95.382438,29.7235984,1700 PROSPECT 
-95.405283,29.72583,1900 BISSONNET ST
-95.38405039999999,29.7053075,2500 HOLCOMBE BLVD
