x,y,address
-95.3520265,29.7636518,1900 RUNNELS 
-95.3866029,29.70639,2200 HOLCOMBE BLVD
-95.30285250000001,29.73409839999999,7000 CAPITOL ST
-95.26970209999999,29.69135,8300 PARK PLACE BLVD
-95.29878099999999,29.6896017,5100 TELEPHONE 
-95.3569368,29.6734987,7900 ROCK ROSE 
-95.3379849,29.6371941,5600 SELINSKY RD
-95.32745,29.63554,5900 SELINSKY RD
-95.3943134,29.6889087,2100 EL PASEO ST
-95.42256839999999,29.6341543,3100 TIDEWATER 
-95.5327659,29.6765825,8900 BISSONNET ST
-95.50629029999999,29.7386711,7900 WESTHEIMER RD
-95.5080962,29.7111101,6900 SOUTHWEST FWY
-95.523191,29.7064115,7800 HIAWATHA DR
-95.56698209999999,29.6918007,8100 MAPLECREST DR
-95.1565952,29.7756383,3100 SAM HOUSTON PKWY
-95.5424196,29.7144515,9000 TOWN PARK DR
-95.38326269999999,29.8699826,200 LITTLE YORK RD
-95.409598,29.8631998,600 GRANVILLE DR
-95.454877,29.871091,7400 ASHMOLE LN
-95.3426224,29.7512956,3100 GARROW 
-95.3291912,29.7337066,1600 MARLIN ST
-95.3802347,29.7162666,3000 MACGREGOR WAY
-95.210416,29.61923,11700 FUQUA ST
-95.34425019999999,29.7042721,4700 ARVILLA LN
-95.3488816,29.6597637,5000 MALLOW 
-95.4051784,29.6979252,7700 GREENBRIAR DR
-95.488891,29.7091367,6100 CLAREWOOD DR
-95.5232162,29.6673754,8300 TWIN HILLS DR
-95.32088010000001,29.6662197,6100 BELLFORT AVE
-95.4789936,29.7380536,5700 WESTHEIMER RD
-95.4917294,29.7261335,6300 WINDSWEPT LN
-95.5514249,29.6854603,10100 CLUB CREEK DR
-95.53830649999999,29.77586569999999,800 STREY LN
-95.4737383,29.88074869999999,7900 ANTOINE DR
-95.42578309999999,29.9632045,13500 NORTHBOROUGH DR
-95.4372944,29.956412,700 ELLA CREEK DR
-95.33937379999999,29.779729,3000 SUMPTER 
-95.25924920000001,29.8543575,9000 STERLINGSHIRE 
-95.3040824,29.862536,10400 BRETTON DR
-95.5467408,29.96146569999999,7900 FM 1960 BYP
-95.3654365,29.6597891,4200 MALLOW 
-95.3639202,29.6881907,7100 SCOTT ST
-95.3472997,29.640266,8100 PANAY DR
-95.4956653,29.7079305,6600 DUNLAP ST
-95.5573271,29.6894868,10200 BEECHNUT ST
-95.5831118,29.6750627,11600 BISSONNET ST
-95.5390511,29.7136354,8700 TOWN PARK DR
-95.4833592,29.8335294,2600 NORTH FWY
-95.41595629999999,29.7798794,5300 DARLING ST
-95.45610429999999,29.81998,4500 TULSA 
-95.4585725,29.8015657,1800 MANGUM 
-95.5448265,29.7909282,10100 WESTVIEW DR
-95.38326269999999,29.8699826,200 LITTLE YORK RD
-95.41810149999999,29.8567485,6300 DE PRIEST ST
-95.2667678,29.8499337,900 TIDWELL RD
-95.40487399999999,29.915795,11000 AIRLINE DR
-95.3552544,29.8422044,2500 FIRNAT 
-95.2825707,29.8239281,7900 BETTY BOOP ST
-95.3064449,29.8677523,10600 WOLBROOK 
-95.2959953,29.87319279999999,6300 TAUTENHAHN RD
-95.39702229999999,29.9377645,400 NORTH SAM HOUSTON PKWY
-95.46863139999999,29.8853501,8000 STREAMSIDE DR
-95.33220360000001,29.7282262,1400 MUNGER 
-95.3715521,29.7487608,2100 MAIN ST
-95.3555737,29.6598294,9100 CULLEN BLVD
-95.40193839999999,29.9313246,200 ALDINE BENDER RD
-95.38243829999999,29.7476455,200 TUAM 
-95.61695279999999,29.7428058,2200 AVENIDA LA QUINTA ST
-95.3977807,29.8668487,7300 NORTHLINE DR
-95.3692688,29.8444645,500 TIDWELL RD
-95.44837389999999,29.8824251,9600 MONTGOMERY RD
-95.38887319999999,29.9482763,800 SEMINAR DR
-95.32635529999999,29.76994899999999,4400 BUCK 
-95.31298319999999,29.8011634,4500 HOFFMAN 
-95.33624669999999,29.8345335,3300 SADLER 
