x,y,address
-95.349386,29.7576484,2200 COMMERCE ST
-95.34040329999999,29.7439552,3800 WALKER ST
-95.3368375,29.7435833,800 CULLEN BLVD
-95.3558255,29.7492585,1200 HUTCHINS 
-95.37615699999999,29.74154,3100 FANNIN ST
-95.373008,29.749074,2100 TRAVIS 
-95.3715521,29.7487608,2100 MAIN ST
-95.3482133,29.7330391,3500 BREMOND ST
-95.3591375,29.732241,3000 SAUER 
-95.35356449999999,29.733458,3300 DENNIS ST
-95.3582263,29.7302422,3300 VELASCO 
-95.3529885,29.7267246,3400 REEVES 
-95.3616346,29.7267678,3100 ALABAMA ST
-95.35514529999999,29.7369441,3100 HADLEY ST
-95.3677733,29.7342011,3400 HUTCHINS 
-95.3577217,29.7355265,3000 MCGOWEN ST
-95.35969399999999,29.730896,3000 ELGIN ST
-95.36950999999999,29.7288158,4100 DOWLING ST
-95.3709994,29.7269367,4400 DOWLING ST
-95.3802347,29.7162666,4300 MACGREGOR WAY
-95.37401700000001,29.7094729,5900 ARDMORE ST
-95.34933699999999,29.703314,4300 OLD SPANISH TRL
-95.36882159999999,29.7200605,3000 ROSEDALE 
-95.3714796,29.726281,2400 ROSEWOOD 
-95.34933699999999,29.703314,4300 OLD SPANISH TRL
-95.353366,29.71857,4700 SCOTT ST
-95.3802347,29.7162666,3200 MACGREGOR WAY
-95.3729003,29.7051974,3300 DIXIE DR
-95.3426607,29.7117336,8500 MACGREGOR WAY
-95.3851745,29.7218776,5700 CRAWFORD ST
-95.39357509999999,29.7125769,1500 CAMBRIDGE ST
-95.37290990000001,29.7308556,2000 CLEBURNE ST
-95.39743070000002,29.714947,6400 FANNIN ST
-95.304277,29.7417249,800 WAYSIDE 
-95.3049298,29.7350652,6900 CAPITOL ST
-95.3054774,29.7361174,6800 HARRISBURG 
-95.30206299999999,29.74657,1500 WAYSIDE 
-95.28541059999999,29.7325457,7800 SHERMAN 
-95.28889339999999,29.6959209,6100 GULF FWY
-95.29178929999999,29.7834183,2300 WAYSIDE 
-95.29977889999999,29.7471414,1700 SSGT MACARIO GARCIA DR
-95.28889339999999,29.6959209,6100 GULF FWY
-95.29178929999999,29.7834183,2300 WAYSIDE 
-95.27927319999999,29.7028327,7800 SARITA 
-95.27466299999999,29.714481,8300 LA PORTE RD
-95.27466299999999,29.714481,8300 LA PORTE RD
-95.2663577,29.6938512,8500 DETROIT ST
-95.263868,29.6696091,8500 GULF FWY
-95.2469295,29.6766507,5100 LAUREL CREEK WAY
-95.25113239999999,29.6502769,9900 GULF FWY
-95.240899,29.63766099999999,10900 GULF FWY
-95.2389456,29.638456,9500 MINNESOTA ST
-95.25113239999999,29.6502769,9900 GULF FWY
-95.24582000000001,29.641725,10500 GULF FWY
-95.2422091,29.6445547,1300 REDFORD 
-95.22829879999999,29.62500859999999,100 ALMEDA MALL 
-95.240027,29.6427368,1100 EDGEBROOK DR
-95.23203579999999,29.59272949999999,10800 SAGEBERRY DR
-95.2289715,29.6147773,10500 SOUTHPORT DR
-95.22781690000001,29.6113037,10600 FUQUA ST
-95.23811189999999,29.6111276,10000 FUQUA ST
-95.13401999999999,29.568202,15500 EL CAMINO REAL 
-95.1483926,29.5420385,500 BAYBROOK MALL 
-95.1494203,29.5561598,200 EL DORADO BLVD
